Personal esports
Pavelló
Pista blanca
Pista verda
Sala pavelló
Sala sota grades
Pista bàsquet Balmes
Pista futsal  Balmes
Gimnàs Balmes
Pista Cau de la guineu
Pista Puig d'agulles
Pista atletisme
Camp futbol
Rocòdrom
Sala cycling
Trial bike
Activitats extraordinàries
